user_id,item_id,score,pop_label
384,1105,5.0,0
567,207,5.0,0
850,16,4.0,1
531,16,4.0,1
318,814,5.0,0
596,1228,5.0,0
714,1358,2.0,0
713,1358,2.0,0
634,1535,4.0,0
635,1535,4.0,0
105,1479,4.0,0
536,1228,1.0,0
105,1228,5.0,0
25,1228,5.0,0
25,1228,5.0,0
755,1228,5.0,0
801,1535,4.0,0
105,1216,5.0,0
25,1216,5.0,0
755,1216,5.0,0
663,223,5.0,0
755,207,5.0,0
663,207,3.0,0
536,494,5.0,0
566,494,5.0,0
567,494,5.0,0
180,494,5.0,0
892,494,5.0,0
910,494,5.0,0
318,1535,4.0,0
655,1541,3.0,0
755,537,5.0,0
192,1541,3.0,0
778,1541,1.0,0
618,494,5.0,0
180,204,5.0,0
581,1584,5.0,0
815,1584,5.0,0
869,307,5.0,0
870,307,5.0,0
578,307,1.0,0
769,307,1.0,0
801,1336,2.0,0
192,1336,4.0,0
562,1541,1.0,0
318,307,1.0,0
857,485,3.0,0
820,681,5.0,0
90,15,5.0,1
663,1541,5.0,0
311,1737,4.0,0
868,485,3.0,0
755,1541,3.0,0
931,307,1.0,0
710,307,4.0,0
709,307,4.0,0
182,307,5.0,0
630,307,4.0,0
650,307,2.0,0
710,1737,4.0,0
931,1737,5.0,0
836,1541,1.0,0
302,1541,5.0,0
626,307,5.0,0
820,307,5.0,0
545,582,5.0,0
90,494,2.0,0
780,307,4.0,0
770,494,5.0,0
895,1737,5.0,0
661,307,1.0,0
632,1737,5.0,0
90,257,2.0,0
760,681,5.0,0
958,435,2.0,0
25,435,4.0,0
105,435,4.0,0
90,1368,5.0,0
90,204,5.0,0
644,1737,5.0,0
618,266,5.0,0
596,1737,5.0,0
760,1368,5.0,0
603,435,2.0,0
640,1737,5.0,0
90,1216,3.0,0
561,1368,5.0,0
562,1368,5.0,0
562,1737,5.0,0
764,1535,5.0,0
561,1737,5.0,0
247,876,4.0,0
264,1737,5.0,0
562,1535,5.0,0
561,1535,5.0,0
90,1584,3.0,0
931,22,5.0,1
755,435,3.0,0
836,537,5.0,0
174,266,5.0,0
338,266,5.0,0
891,435,3.0,0
755,876,5.0,0
311,1268,3.0,0
655,756,4.0,0
561,756,4.0,0
90,756,5.0,0
598,204,5.0,0
303,204,5.0,0
605,204,4.0,0
59,204,5.0,0
201,204,5.0,0
174,204,5.0,0
915,204,5.0,0
629,537,3.0,0
655,1737,3.0,0
628,144,5.0,0
764,537,5.0,0
801,266,2.0,0
879,1228,5.0,0
332,1228,5.0,0
714,257,3.0,0
713,257,3.0,0
